explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature,release_date,artist,year,month,year_2
FALSE,0FE9t6xYkqWXU2ahLh6D8X,Shape of You,72,0.825,0.652,C#/Db,-3.183,Minor,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,1/6/2017,Ed Sheeran,2017,1,2017
FALSE,5ZULALImTm80tzUbYQYM9d,Dance Monkey,79,0.824,0.588,F#/Gb,-6.4,Minor,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4,8/29/2019,Tones And I,2019,8,2019
TRUE,7wGoVu4Dady5GV0Sv4UIsx,rockstar,1,0.577,0.522,F,-6.594,Minor,0.0984,0.13,9.03E-05,0.142,0.119,159.772,218320,4,9/15/2017,Post Malone,2017,9,2017
FALSE,1xznGGDReH1oQq0xzbwXa3,One Dance,3,0.791,0.619,C#/Db,-5.886,Major,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4,5/6/2016,Drake,2016,5,2016
FALSE,7BKLCZ1jbUBVqRi2FVlTVw,Closer,85,0.748,0.524,Ab,-5.599,Major,0.0338,0.414,0,0.111,0.661,95.01,244960,4,7/29/2016,The Chainsmokers,2016,7,2016
FALSE,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,29,0.513,0.796,C#/Db,-4.075,Major,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4,11/29/2019,The Weeknd,2019,11,2019
FALSE,1A6OTy97kk0mMdm78rHsm8,Sunflower - Spider-Man: Into the Spider-Verse,4,0.753,0.498,D,-5.61,Major,0.0504,0.551,0,0.0706,0.927,89.95,158053,4,10/18/2018,Post Malone,2018,10,2018
TRUE,6T8cJz5lAqGer9GUHGyelE,God's Plan,2,0.755,0.448,G,-9.587,Major,0.107,0.0283,3.28E-05,0.514,0.318,77.179,198960,4,1/20/2018,Drake,2018,1,2018
FALSE,34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,83,0.781,0.445,D,-6.061,Major,0.0295,0.474,0,0.184,0.591,78.998,281560,4,6/21/2014,Ed Sheeran,2014,6,2014
FALSE,0TK2YIli7K1leLovkQiNik,Señorita,83,0.759,0.54,A,-6.039,Minor,0.0287,0.037,0,0.0945,0.75,116.947,190960,4,6/21/2019,Shawn Mendes,2019,6,2019
FALSE,2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,80,0.501,0.405,C#/Db,-5.679,Major,0.0319,0.751,0,0.105,0.446,109.891,182161,4,11/8/2018,Lewis Capaldi,2018,11,2018
FALSE,2Fxmhks0bxGSBdJ92vM42m,bad guy,87,0.701,0.425,G,-10.965,Major,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,3/29/2019,Billie Eilish,2019,3,2019
FALSE,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,86,0.358,0.557,Bb,-7.398,Major,0.059,0.695,0,0.0902,0.494,85.043,211467,4,10/28/2016,James Arthur,2016,10,2016
FALSE,0tgVpDi06FyKpA1z0VMD4v,Perfect,87,0.599,0.448,Ab,-6.312,Major,0.0232,0.163,0,0.106,0.168,95.05,263400,3,3/3/2017,Ed Sheeran,2017,3,2017
FALSE,6VRghJeP6I0w1KxkdWFfIh,Believer,0,0.77,0.787,Bb,-4.402,Minor,0.113,0.0482,0,0.108,0.699,125.013,203782,4,1/31/2017,Imagine Dragons,2017,1,2017
FALSE,0ofbQMrRDsUaVKq2mGLEAb,Havana,3,0.768,0.517,G,-4.323,Minor,0.0312,0.186,3.80E-05,0.104,0.418,104.992,216897,4,8/3/2017,Camila Cabello,2017,8,2017
FALSE,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,2,0.609,0.378,E,-9.828,Major,0.438,0.835,0,0.28,0.515,100.418,233720,4,11/13/2015,Justin Bieber,2015,11,2015
FALSE,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,84,0.614,0.379,E,-10.48,Major,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,6/21/2014,Ed Sheeran,2014,6,2014
TRUE,7lQqaqZu0vjxzpdATOIsDt,Starboy,0,0.68,0.594,G,-7.021,Major,0.28,0.159,2.35E-06,0.134,0.475,186.04,230467,4,9/22/2016,The Weeknd,2016,9,2016
FALSE,1Y8tTuBW1YOFc6o2N9jLGM,New Rules,0,0.764,0.718,A,-5.18,Minor,0.0703,0.00261,1.11E-05,0.113,0.596,116.01,212000,4,6/2/2017,Dua Lipa,2017,6,2017
TRUE,3ee8Jmje8o58CHK66QrVC2,SAD!,86,0.74,0.613,Ab,-4.88,Major,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,3/16/2018,XXXTENTACION,2018,3,2018
TRUE,0X8DcetL926BYiPJYstJTc,Lucid Dreams,4,0.511,0.566,F#/Gb,-7.23,Minor,0.2,0.349,0,0.34,0.218,83.903,239836,4,5/23/2018,Juice WRLD,2018,5,2018
FALSE,1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,74,0.607,0.649,B,-6.695,Minor,0.0362,0.0306,2.46E-05,0.174,0.505,102.996,247627,4,2/22/2017,The Chainsmokers,2017,2,2017
FALSE,0BF6mdNROWgYo3O3mNGrBc,Lean On (feat. MØ & DJ Snake),0,0.723,0.809,G,-3.081,Minor,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4,3/2/2015,Major Lazer,2015,3,2015
FALSE,5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,5,0.694,0.815,D,-4.328,Major,0.12,0.229,0,0.0924,0.813,88.931,228827,4,4/17/2017,Luis Fonsi,2017,4,2017
FALSE,56lBX2WHqfGuoeZxZvUnVj,Thunder,0,0.601,0.834,C,-3.78,Major,0.0455,0.00502,0.15,0.121,0.249,167.879,187761,4,4/27/2017,Imagine Dragons,2017,4,2017
FALSE,69bp2EbF7Q2rqc5N3ylezZ,Sorry,3,0.654,0.76,C,-3.669,Minor,0.045,0.0797,0,0.299,0.41,99.945,200787,4,11/13/2015,Justin Bieber,2015,11,2015
TRUE,2eMwDehkIC1j68U6FA3Eiq,XO TOUR Llif3,3,0.732,0.75,B,-6.366,Minor,0.231,0.00264,0,0.109,0.401,155.096,182707,4,3/24/2017,Lil Uzi Vert,2017,3,2017
FALSE,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,80,0.532,0.869,B,-5.094,Major,0.172,0.157,0.00508,0.136,0.422,159.803,208373,4,2/5/2016,The Chainsmokers,2016,2,2016
TRUE,7ujx3NYtwO2LkmKGz59mXp,HUMBLE.,1,0.906,0.625,C#/Db,-6.779,Minor,0.0903,0.000243,3.23E-05,0.0975,0.423,150.018,177000,4,4/14/2017,Kendrick Lamar,2017,4,2017
FALSE,1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,20,0.414,0.404,C,-9.928,Minor,0.0499,0.271,0,0.3,0.224,71.105,354320,4,11/21/1975,Queen,1975,11,1975
FALSE,2dpaYNEQHiRxtZbfNsse99,Happier,84,0.687,0.792,F,-2.749,Major,0.0452,0.191,0,0.167,0.671,100.015,214290,4,8/17/2018,Marshmello,2018,8,2018
FALSE,3U4isOIWM3VvDubwSI3y7a,All of Me,86,0.422,0.264,Ab,-7.064,Major,0.0322,0.922,0,0.132,0.331,119.93,269560,4,8/30/2013,John Legend,2013,8,2013
TRUE,7vfWgVGiLgnGbInU5lvSQg,I Took A Pill In Ibiza - Seeb Remix,0,0.673,0.79,G,-4.663,Minor,0.0893,0.037,9.95E-06,0.0875,0.705,102.013,199227,4,7/24/2015,Mike Posner,2015,7,2015
TRUE,7dt6x5M1jzdTEt8oCbisTK,Better Now,83,0.68,0.578,Bb,-5.804,Major,0.04,0.331,0,0.135,0.341,145.038,231267,4,4/27/2018,Post Malone,2018,4,2018
FALSE,2VxeLyX666F8uXCJ0dZF8B,Shallow,85,0.572,0.385,G,-6.362,Major,0.0308,0.371,0,0.231,0.323,95.799,215733,4,10/5/2018,Lady Gaga,2018,10,2018
FALSE,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,1,0.476,0.718,Ab,-5.309,Major,0.0576,0.0784,1.02E-05,0.122,0.142,199.864,205947,4,8/5/2016,DJ Snake,2016,8,2016
FALSE,1brwdYwjltrJo7WHpIvbYt,Faded,0,0.589,0.651,F#/Gb,-5.097,Major,0.0306,0.0291,3.20E-06,0.111,0.166,90.011,212627,4,12/4/2015,Alan Walker,2015,12,2015
FALSE,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,85,0.734,0.637,E,-5.677,Minor,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,202333,4,5/15/2015,Twenty One Pilots,2015,5,2015
TRUE,14msK75pk3pA33pzPVNtBF,7 rings,5,0.725,0.321,C#/Db,-10.744,Minor,0.323,0.578,0,0.0884,0.319,70.142,178640,4,1/18/2019,Ariana Grande,2019,1,2019
TRUE,6syOdAs4IK8kPWR7gDyjRw,Congratulations,1,0.629,0.817,F#/Gb,-4.261,Major,0.0357,0.199,0,0.317,0.466,123.087,220293,4,12/9/2016,Post Malone,2016,12,2016
FALSE,7dS5EaCoMnN7DzlpT6aRn2,Take Me To Church,0,0.566,0.664,E,-5.303,Minor,0.0464,0.634,0,0.116,0.437,128.945,241688,4,5/20/2014,Hozier,2014,5,2014
TRUE,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,87,0.872,0.391,C,-9.144,Minor,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133,4,8/25/2017,XXXTENTACION,2017,8,2017
FALSE,7IHOIqZUUInxjVkko181PB,Stay With Me,0,0.5,0.418,C,-6.535,Major,0.0377,0.566,0.000193,0.11,0.176,84.899,172724,4,1/1/2014,Sam Smith,2014,1,2014
FALSE,7BPw9h8vCIX94N0rjFU12S,Cheap Thrills,61,0.628,0.698,F#/Gb,-5.608,Minor,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4,2/18/2016,Sia,2016,2,2016
FALSE,53B2XmmjJ9rriW1qciMBeX,Treat You Better,0,0.45,0.825,Bb,-4.066,Minor,0.372,0.121,0,0.109,0.742,82.823,187973,4,6/3/2016,Shawn Mendes,2016,6,2016
FALSE,3ZxsClaR81YqW3GTSvCTke,Let Her Go,0,0.479,0.545,G,-7.346,Major,0.0688,0.365,0,0.0963,0.244,74.897,252733,4,6/29/2012,Passenger,2012,6,2012
FALSE,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),83,0.856,0.609,C,-7.223,Major,0.0824,0.00801,8.15E-05,0.0344,0.928,114.988,269667,4,1/12/2015,Mark Ronson,2015,1,2015
TRUE,1F2HXIJrE2Xn81OzT2zZvW,Unforgettable,1,0.726,0.769,F#/Gb,-5.043,Major,0.123,0.0293,0.0101,0.104,0.733,97.985,233833,4,2017,French Montana,1905,7,2017
FALSE,4VrWlk8IQxevMvERoX08iC,Chandelier,78,0.399,0.787,C#/Db,-2.88,Major,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089,216120,5,7/4/2014,Sia,2014,7,2014
TRUE,7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B),76,0.851,0.541,C,-6.825,Major,0.0505,0.568,0,0.13,0.448,124.959,235545,4,6/15/2018,Maroon 5,2018,6,2018
FALSE,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),1,0.608,0.798,F#/Gb,-5.092,Minor,0.0432,0.0736,0,0.156,0.501,92.943,185352,4,7/22/2016,Major Lazer,2016,7,2016
FALSE,1ds2QsfhAAfRiaFMGDzrdb,What Do You Mean?,1,0.842,0.564,F,-8.042,Minor,0.105,0.617,0.00024,0.0912,0.782,124.984,207547,4,8/28/2015,Justin Bieber,2015,8,2015
FALSE,4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),2,0.66,0.786,D,-4.757,Major,0.17,0.209,0,0.112,0.846,177.833,228200,4,1/13/2017,Luis Fonsi,2017,1,2017
FALSE,23ihGIrYOSzNNGJ6STAxI4,7 Years,62,0.741,0.473,Bb,-5.829,Major,0.0603,0.29,0,0.391,0.342,119.951,237300,4,6/26/2015,Lukas Graham,2015,6,2015
FALSE,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",78,0.667,0.83,C,-5.715,Major,0.0749,0.0123,0,0.191,0.701,113.03,236002,4,5/6/2016,Justin Timberlake,2016,5,2016
FALSE,1WP1r7fuvRqZRnUaTi2I1Q,Stitches,1,0.746,0.754,C#/Db,-6.681,Major,0.067,0.0152,0,0.0486,0.764,149.882,206880,4,4/13/2015,Shawn Mendes,2015,4,2015
FALSE,4fTHdMTq0Znl3djLI1Typn,Cheerleader (Felix Jaehn Remix) - Radio Edit,51,0.827,0.576,E,-7.774,Major,0.0372,0.184,0.029,0.0656,0.41,118.04,180021,4,1/23/2015,OMI,2015,1,2015
FALSE,0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),79,0.631,0.927,A,-2.787,Minor,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4,4/29/2016,Calvin Harris,2016,4,2016
